# Eerste brede optimize-ronde (limiet 200), 3 september 2026, 10:45.
# 140 bevroren artikelen bekeken, 43 verhoogd (+EUR134,76/cyclus), 79 ongemoeid, 18 mislukt.
# MEETVRAAG 4/9: houden ze het koopblok? Sync 3/9 14:15 = eerste live-check,
# export 4/9 = tweede. Let apart op de 33 'geen concurrent'-stapjes van EUR5.
# EAN            was      werd     winst   concurrent
8717774825822  171.05  176.07  5.02  geen
8716522110395  62.84  67.86  5.02  geen
8716522092042  48.23  49.94  1.71  Bohemian Living NL
4004947361770  47.34  52.36  5.02  geen
8716522082524  43.18  48.20  5.02  geen
8717266046605  42.48  47.50  5.02  geen
8716522085983  41.83  46.85  5.02  geen
8717266011351  37.72  42.74  5.02  geen
8717266046599  37.72  42.74  5.02  geen
8716522082494  37.67  42.69  5.02  geen
8716522082517  37.67  42.69  5.02  geen
8716522085976  35.90  40.87  4.97  geen
8716522110388  35.90  37.49  1.59  Woonuden-DierenlampenOnline
8716522104899  34.99  38.95  3.96  Cactula
8716522104905  34.99  38.95  3.96  Cactula
4004947361787  34.27  38.71  4.44  geen
8716522074468  117.34  121.78  4.44  geen
8716522089691  32.73  35.93  3.20  Cactula
8716522103359  32.00  32.94  0.94  Sebic - CAN-Interiors
8716522103342  32.00  32.94  0.94  Sebic - CAN-Interiors
8716522085686  29.40  33.20  3.80  geen
8716522074994  27.97  31.46  3.49  geen
8716522079654  27.97  31.46  3.49  geen
8717266373138  26.21  29.43  3.22  geen
8716522033731  26.23  29.43  3.20  geen
8716522078350  25.27  28.31  3.04  geen
8716522089684  25.14  28.16  3.02  geen
8716522093995  25.14  28.16  3.02  geen
8716522088700  24.75  27.69  2.94  geen
8716522082272  24.75  27.69  2.94  geen
8717266051982  24.39  27.27  2.88  geen
8716522094671  23.76  24.49  0.73  Sebic - CAN-Interiors
8716522082364  21.73  24.10  2.37  geen
8716522105995  21.42  23.74  2.32  geen
8718483101924  20.38  22.54  2.16  geen
8716522074925  19.86  21.89  2.03  geen
8716522089288  18.28  19.94  1.66  Boholifestylestore
8716522079609  18.04  19.76  1.72  geen
8716522077254  18.02  19.73  1.71  Boholifestylestore
8716522078367  15.75  17.03  1.28  geen
8716522089677  15.75  17.03  1.28  geen
8716522075090  14.92  16.04  1.12  geen
8716522078336  14.01  15.00  0.99  geen
